id,_source_row,prediction_datetime,start_datetime,latitude,longitude,location_grid,distance_band,address,event_type,event_cause,veh_type,corridor,police_station,zone,junction,start_hour,start_dayofweek,start_month_number,is_weekend,is_morning_peak,is_evening_peak,is_peak_hour,is_night,peak_period,report_lag_minutes_clipped,distance_to_city_center_km,description,is_planned_event,is_public_or_vip_event,is_breakdown_event,is_accident_event,is_weather_or_visibility_event,is_road_condition_event,is_heavy_vehicle,has_blocked_word,has_jam_word,has_lane_word,has_full_blockage_phrase,has_partial_blockage_phrase,has_diversion_word,has_severity_word,has_tree_fall_word,target_road_closure,valid_duration_label,duration_band,road_closure_probability,predicted_label,road_closure_probability_is_history_fallback,predicted_duration_band,prediction_confidence,prob_short,prob_medium,prob_long,prob_very_long
FKID002569,2569,2024-03-22 06:19:16.900928+00:00,2024-03-22 06:17:24.552000+00:00,12.9192208,77.5422099,12.919_77.542,,,unplanned,vehicle_breakdown,bmtc_bus,non-corridor,banashankari,,,11.0,4.0,3.0,0,1,0,1,0,morning_peak,1.8724821333333328,8.133630288200354,,0,0,1,0,0,0,1,0,0,,,,,,,,,short,0.0527612646714224,,0,medium,0.5161524578936282,0.4705566861786739,0.5161524578936282,0.0041826156299840525,0.009108240297713982
FKID002573,2573,2024-03-22 06:37:18.093307+00:00,2024-03-22 06:34:52.015000+00:00,12.9616822,77.5842475,12.962_77.584,,,unplanned,vehicle_breakdown,bmtc_bus,mysore road,halasuru gate,,,12.0,4.0,3.0,0,0,0,0,0,off_peak,2.43463845,1.5730879449402624,,0,0,1,0,0,0,1,0,0,,,,,,,,,medium,0.091669983049898,,0,short,0.502557994467243,0.502557994467243,0.4882197833105349,0.004722222222222222,0.0045000000000000005
FKID002585,2585,2024-03-22 18:23:57.026472+00:00,2024-03-22 18:23:00.443000+00:00,13.0423267,77.5489333,13.042_77.549,,,unplanned,vehicle_breakdown,heavy_vehicle,orr north 2,jalahalli,,,23.0,4.0,3.0,0,0,0,0,1,night,0.9430578666666668,9.291314132742878,,0,0,1,0,0,0,1,0,0,,,,,,,,,short,0.0360987058611014,,0,medium,0.535141049009797,0.4590256176568697,0.535141049009797,0.0022222222222222222,0.003611111111111111
FKID002598,2598,2024-03-22 19:56:10.195088+00:00,2024-03-22 19:54:55.533000+00:00,12.91704,77.5838333,12.917_77.584,,,unplanned,tree_fall,,non-corridor,jayanagara,,,1.0,5.0,3.0,1,0,0,0,1,night,1.2443681333333332,6.177975229218733,,0,0,0,0,0,0,0,0,1,,,,,,,,,short,0.3002907989685337,,0,very_long,0.4768086444349034,0.1499598195653406,0.13715572850830038,0.23607580749145554,0.4768086444349034
FKID002592,2592,2024-03-22 20:07:47.547170+00:00,2024-03-22 20:06:39.956000+00:00,12.9238396,77.5534147,12.924_77.553,,,unplanned,others,,orr west 1,banashankari,,,1.0,5.0,3.0,1,0,0,0,1,night,1.1265195,6.937108840178136,,0,0,0,0,0,0,0,1,0,,,,,,,,,short,0.0786941995050685,,0,very_long,0.37697241311728463,0.23145564797955756,0.1845265611337797,0.20704537776937812,0.37697241311728463
FKID002599,2599,2024-03-22 21:10:42.483099+00:00,2024-03-22 21:08:16.446000+00:00,12.9993376,77.584343,12.999_77.584,,,unplanned,vehicle_breakdown,ksrtc_bus,bellary road 1,sadashivanagar,,,2.0,5.0,3.0,1,0,0,0,1,night,2.43395165,3.2783999296755475,,0,0,1,0,0,0,1,0,1,,,,,,,,,short,0.0365536194509433,,0,medium,0.5543208105804851,0.43157760835350795,0.5543208105804851,0.0075977496483825594,0.006503831417624521
FKID002614,2614,2024-03-22 21:44:54.486976+00:00,2024-03-22 21:42:58.315000+00:00,13.0105086,77.58363,13.011_77.584,,,unplanned,vehicle_breakdown,truck,bellary road 1,sadashivanagar,,,3.0,5.0,3.0,1,0,0,0,1,night,1.9361996,4.486737577286497,,0,0,1,0,0,0,1,0,0,,,,,,,,,short,0.0632783055958527,,0,medium,0.5851090564451087,0.405168721332669,0.5851090564451087,0.0044444444444444444,0.005277777777777778
FKID002619,2619,2024-03-22 22:28:33.474904+00:00,2024-03-22 22:23:01.818000+00:00,12.9654016,77.6009454,12.965_77.601,,,unplanned,road_conditions,,mysore road,ashok nagar,,,3.0,5.0,3.0,1,0,0,0,1,night,5.527615066666667,0.9735525293643648,,0,0,0,0,0,1,0,0,0,,,,,,,,,very_long,0.2209824736626726,,0,very_long,0.5958670641557055,0.12663813666862037,0.1059611529076623,0.1715336462680119,0.5958670641557055
FKID002693,2693,2024-03-22 22:30:59.810845+00:00,2024-03-22 22:28:24.141000+00:00,12.9424889,77.7474591,12.942_77.747,,,planned,construction,,non-corridor,whitefield,,,3.0,5.0,3.0,1,0,0,0,1,night,2.594497416666667,16.877705940929076,,1,0,0,0,0,1,0,0,0,,,,,,,,,long,0.3431911600637073,,0,very_long,0.4086368042398389,0.19499449427114618,0.08789970703727815,0.3084689944517367,0.4086368042398389
FKID002626,2626,2024-03-22 23:13:39.472359+00:00,2024-03-22 23:12:47.141000+00:00,12.9614379,77.5611814,12.961_77.561,,,unplanned,vehicle_breakdown,private_car,mysore road,chamarajpet,,,4.0,5.0,3.0,1,0,0,0,1,night,0.8721893166666667,3.793431328933343,,0,0,1,0,0,0,0,0,0,,,,,,,,,short,0.0441837666601399,,0,short,0.5242378785970063,0.5242378785970063,0.46534545473632694,0.005138888888888888,0.005277777777777778
